x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-351.810235,1.357395,0,pial,,,,
-344.078142,3.646704,0,pial,,,,
-336.346049,5.95603,0,pial,,,,
-328.613956,8.284624,0,pial,,,,
-320.881863,10.631756,0,pial,,,,
-313.14977,12.996711,0,pial,,,,
-305.417677,15.378786,0,pial,,,,
-297.685584,17.777294,0,pial,,,,
-289.953491,20.191561,0,pial,,,,
-282.221398,22.620923,0,pial,,,,
-274.489304,25.06473,0,pial,,,,
-266.757211,27.52234,0,pial,,,,
-259.025118,29.993121,0,pial,,,,
-251.293025,32.47645,0,pial,,,,
-243.560932,34.971713,0,pial,,,,
-235.828839,37.478302,0,pial,,,,
-228.096746,39.995614,0,pial,,,,
-220.364653,42.523054,0,pial,,,,
-212.63256,45.06003,0,pial,,,,
-204.900467,47.605955,0,pial,,,,
-197.168374,50.160242,0,pial,,,,
-189.436281,52.722309,0,pial,,,,
-181.704187,55.291575,0,pial,,,,
-173.972094,57.867459,0,pial,,,,
-166.240001,60.449379,0,pial,,,,
-158.507908,63.036753,0,pial,,,,
-150.775815,65.628995,0,pial,,,,
-143.043722,68.225519,0,pial,,,,
-135.311629,70.825732,0,pial,,,,
-127.579536,73.429041,0,pial,,,,
-119.847443,76.034843,0,pial,,,,
-112.11535,78.642531,0,pial,,,,
-104.383257,81.251492,0,pial,,,,
-96.651164,83.861104,0,pial,,,,
-88.91907,86.470735,0,pial,,,,
-81.186977,89.079746,0,pial,,,,
-73.454884,91.687488,0,pial,,,,
-65.722791,94.293298,0,pial,,,,
-57.990698,96.896503,0,pial,,,,
-50.258605,99.496417,0,pial,,,,
-42.526512,102.092341,0,pial,,,,
-34.794419,104.683561,0,pial,,,,
-27.062326,107.269347,0,pial,,,,
-19.330233,109.848955,0,pial,,,,
-11.59814,112.421621,0,pial,,,,
-3.866047,114.986567,0,pial,,,,
3.866047,117.542994,0,pial,,,,
11.59814,120.090084,0,pial,,,,
19.330233,122.627,0,pial,,,,
27.062326,125.152882,0,pial,,,,
34.794419,127.666849,0,pial,,,,
42.526512,130.167998,0,pial,,,,
50.258605,132.655403,0,pial,,,,
57.990698,135.128112,0,pial,,,,
65.722791,137.585148,0,pial,,,,
73.454884,140.02551,0,pial,,,,
81.186977,142.448168,0,pial,,,,
88.91907,144.852066,0,pial,,,,
96.651164,147.236118,0,pial,,,,
104.383257,149.599209,0,pial,,,,
112.11535,151.940197,0,pial,,,,
119.847443,154.257904,0,pial,,,,
127.579536,156.551123,0,pial,,,,
135.311629,158.818616,0,pial,,,,
143.043722,161.059108,0,pial,,,,
150.775815,163.271293,0,pial,,,,
158.507908,165.453827,0,pial,,,,
166.240001,167.605333,0,pial,,,,
173.972094,169.724396,0,pial,,,,
181.704187,171.809562,0,pial,,,,
189.436281,173.859342,0,pial,,,,
197.168374,175.872204,0,pial,,,,
204.900467,177.84658,0,pial,,,,
212.63256,179.780857,0,pial,,,,
220.364653,181.673384,0,pial,,,,
228.096746,183.522465,0,pial,,,,
235.828839,185.326362,0,pial,,,,
243.560932,187.083293,0,pial,,,,
251.293025,188.79143,0,pial,,,,
259.025118,190.448899,0,pial,,,,
266.757211,192.053781,0,pial,,,,
274.489304,193.604109,0,pial,,,,
282.221398,195.097867,0,pial,,,,
289.953491,196.532991,0,pial,,,,
297.685584,197.907365,0,pial,,,,
305.417677,199.218824,0,pial,,,,
313.14977,200.465153,0,pial,,,,
320.881863,201.64408,0,pial,,,,
328.613956,202.753285,0,pial,,,,
336.346049,203.790389,0,pial,,,,
344.078142,204.752963,0,pial,,,,
351.810235,205.638519,0,pial,,,,
359.542328,206.444512,0,pial,,,,
367.274421,207.168343,0,pial,,,,
375.006515,207.807352,0,pial,,,,
382.738608,208.358821,0,pial,,,,
390.470701,208.819972,0,pial,,,,
398.202794,209.187967,0,pial,,,,
405.934887,209.459904,0,pial,,,,
413.66698,209.632822,0,pial,,,,
421.399073,209.703696,0,pial,,,,
429.131166,209.669435,0,pial,,,,
436.863259,209.526886,0,pial,,,,
444.595352,209.272828,0,pial,,,,
452.327445,208.903976,0,pial,,,,
460.059538,208.416976,0,pial,,,,
467.791632,207.808405,0,pial,,,,
475.523725,207.074774,0,pial,,,,
483.255818,206.212522,0,pial,,,,
490.987911,205.218019,0,pial,,,,
498.720004,204.087561,0,pial,,,,
506.452097,202.817375,0,pial,,,,
514.18419,201.403613,0,pial,,,,
521.916283,199.842354,0,pial,,,,
529.648376,198.129601,0,pial,,,,
537.380469,196.261284,0,pial,,,,
545.112562,194.233253,0,pial,,,,
552.844655,192.041285,0,pial,,,,
560.576749,189.681075,0,pial,,,,
568.308842,187.148242,0,pial,,,,
576.040935,184.438324,0,pial,,,,
583.773028,181.54678,0,pial,,,,
591.505121,178.468986,0,pial,,,,
599.237214,175.200236,0,pial,,,,
606.969307,171.735743,0,pial,,,,
614.7014,168.070633,0,pial,,,,
-614.7014,-47.752295,0,pial,,,,
-606.969307,-46.758068,0,pial,,,,
-599.237214,-45.702907,0,pial,,,,
-591.505121,-44.588602,0,pial,,,,
-583.773028,-43.416895,0,pial,,,,
-576.040935,-42.189487,0,pial,,,,
-568.308842,-40.908035,0,pial,,,,
-560.576749,-39.574156,0,pial,,,,
-552.844655,-38.189425,0,pial,,,,
-545.112562,-36.755376,0,pial,,,,
-537.380469,-35.273506,0,pial,,,,
-529.648376,-33.74527,0,pial,,,,
-521.916283,-32.17209,0,pial,,,,
-514.18419,-30.555348,0,pial,,,,
-506.452097,-28.89639,0,pial,,,,
-498.720004,-27.196529,0,pial,,,,
-490.987911,-25.457041,0,pial,,,,
-483.255818,-23.679171,0,pial,,,,
-475.523725,-21.864129,0,pial,,,,
-467.791632,-20.013095,0,pial,,,,
-460.059538,-18.127217,0,pial,,,,
-452.327445,-16.207613,0,pial,,,,
-444.595352,-14.255372,0,pial,,,,
-436.863259,-12.271555,0,pial,,,,
-429.131166,-10.257192,0,pial,,,,
-421.399073,-8.213292,0,pial,,,,
-413.66698,-6.140831,0,pial,,,,
-405.934887,-4.040766,0,pial,,,,
-398.202794,-1.914025,0,pial,,,,
-390.470701,0.238484,0,pial,,,,
-382.738608,2.415879,0,pial,,,,
-375.006515,4.617298,0,pial,,,,
-367.274421,6.841901,0,pial,,,,
-359.542328,9.088867,0,pial,,,,
-351.810235,11.357395,0,pial,,,,
-344.078142,13.646704,0,pial,,,,
-336.346049,15.95603,0,pial,,,,
-328.613956,18.284624,0,pial,,,,
-320.881863,20.631756,0,pial,,,,
-313.14977,22.996711,0,pial,,,,
-305.417677,25.378786,0,pial,,,,
-297.685584,27.777294,0,pial,,,,
-289.953491,30.191561,0,pial,,,,
-282.221398,32.620923,0,pial,,,,
-274.489304,35.06473,0,pial,,,,
-266.757211,37.52234,0,pial,,,,
-259.025118,39.993121,0,pial,,,,
-251.293025,42.47645,0,pial,,,,
-243.560932,44.971713,0,pial,,,,
-235.828839,47.478302,0,pial,,,,
-228.096746,49.995614,0,pial,,,,
-220.364653,52.523054,0,pial,,,,
-212.63256,55.06003,0,pial,,,,
-204.900467,57.605955,0,pial,,,,
-197.168374,60.160242,0,pial,,,,
-189.436281,62.722309,0,pial,,,,
-181.704187,65.291575,0,pial,,,,
-173.972094,67.867459,0,pial,,,,
-166.240001,70.449379,0,pial,,,,
-158.507908,73.036753,0,pial,,,,
-150.775815,75.628995,0,pial,,,,
-143.043722,78.225519,0,pial,,,,
-135.311629,80.825732,0,pial,,,,
-127.579536,83.429041,0,pial,,,,
-119.847443,86.034843,0,pial,,,,
-112.11535,88.642531,0,pial,,,,
-104.383257,91.251492,0,pial,,,,
-96.651164,93.861104,0,pial,,,,
-88.91907,96.470735,0,pial,,,,
-81.186977,99.079746,0,pial,,,,
-73.454884,101.687488,0,pial,,,,
-65.722791,104.293298,0,pial,,,,
-57.990698,106.896503,0,pial,,,,
-50.258605,109.496417,0,pial,,,,
-42.526512,112.092341,0,pial,,,,
-34.794419,114.683561,0,pial,,,,
-27.062326,117.269347,0,pial,,,,
-19.330233,119.848955,0,pial,,,,
-11.59814,122.421621,0,pial,,,,
-3.866047,124.986567,0,pial,,,,
3.866047,127.542994,0,pial,,,,
11.59814,130.090084,0,pial,,,,
19.330233,132.627,0,pial,,,,
27.062326,135.152882,0,pial,,,,
34.794419,137.666849,0,pial,,,,
42.526512,140.167998,0,pial,,,,
50.258605,142.655403,0,pial,,,,
57.990698,145.128112,0,pial,,,,
65.722791,147.585148,0,pial,,,,
73.454884,150.02551,0,pial,,,,
81.186977,152.448168,0,pial,,,,
88.91907,154.852066,0,pial,,,,
96.651164,157.236118,0,pial,,,,
104.383257,159.599209,0,pial,,,,
112.11535,161.940197,0,pial,,,,
119.847443,164.257904,0,pial,,,,
127.579536,166.551123,0,pial,,,,
135.311629,168.818616,0,pial,,,,
143.043722,171.059108,0,pial,,,,
150.775815,173.271293,0,pial,,,,
158.507908,175.453827,0,pial,,,,
166.240001,177.605333,0,pial,,,,
173.972094,179.724396,0,pial,,,,
181.704187,181.809562,0,pial,,,,
189.436281,183.859342,0,pial,,,,
197.168374,185.872204,0,pial,,,,
204.900467,187.84658,0,pial,,,,
212.63256,189.780857,0,pial,,,,
220.364653,191.673384,0,pial,,,,
228.096746,193.522465,0,pial,,,,
235.828839,195.326362,0,pial,,,,
243.560932,197.083293,0,pial,,,,
251.293025,198.79143,0,pial,,,,
259.025118,200.448899,0,pial,,,,
266.757211,202.053781,0,pial,,,,
274.489304,203.604109,0,pial,,,,
282.221398,205.097867,0,pial,,,,
289.953491,206.532991,0,pial,,,,
297.685584,207.907365,0,pial,,,,
305.417677,209.218824,0,pial,,,,
313.14977,210.465153,0,pial,,,,
320.881863,211.64408,0,pial,,,,
328.613956,212.753285,0,pial,,,,
336.346049,213.790389,0,pial,,,,
344.078142,214.752963,0,pial,,,,
351.810235,215.638519,0,pial,,,,
359.542328,216.444512,0,pial,,,,
367.274421,217.168343,0,pial,,,,
375.006515,217.807352,0,pial,,,,
